ID,Codigo_CPV,Descricao
1210,50300000-8,"Serviços de reparação e manutenção e serviços conexos relacionados com computadores pessoais e com equipamento burótico, audiovisual e para telecomunicações"
1211,15320000-7,Sumos de fruta e de produtos hortícolas | 41100000-0 - Água natural
1212,64224000-2,Serviços de teleconferência
1213,71421000-5,Serviços de jardinagem paisagística
1214,45315600-4,Instalações de baixa tensão
1215,15713000-9,Alimentos para animais de estimação
1216,45221211-4,Passagem inferior
1217,75231240-8,Serviços de reinserção social e profissional
1218,30213000-5,Computadores pessoais
1219,50225000-8,Serviços de manutenção de vias férreas
1220,35113200-1,"Equipamento de protecção nuclear, biológica, química e radiológica"
1221,15982000-5,Refrigerantes
1222,18830000-6,Calçado de protecção
1223,24950000-8,Produtos químicos para fins específicos
1224,50883000-8,Serviços de reparação e manutenção de equipamento para fornecimento de refeições (catering)
1225,79999200-5,Serviços de facturação (invoicing)
1226,39112000-0,Cadeiras
1227,98340000-8,Serviços de escritório e de alojamento
1228,32500000-8,Equipamento e material para telecomunicações
1229,30120000-6,Equipamento para fotocópia e impressão em offset
1230,33130000-0,Instrumentos e dispositivos dentários e de subespecialidade
1231,34114200-1,Veículos para fins policiais
1232,18931100-5,Mochilas
1233,50712000-9,Serviços de reparação e manutenção de equipamento mecânico em edifícios
1234,50113100-1,Serviços de reparação de autocarros | 50114100-8 - Serviços de reparação de camiões
1235,42419510-4,Peças para elevadores
1236,39530000-6,"Carpetes, capachos e tapetes"
1237,92112000-9,Serviços relacionados com a produção de filmes e videocassetes
1238,42418000-9,"Máquinas para elevação, movimentação, carga ou descarga"
1239,44115000-9,Acessórios para construção
1240,35110000-8,"Equipamento de combate a incêndios, socorro e segurança"
1241,65500000-8,Serviços de leitura de contadores
1242,76000000-3,Serviços relacionados com as indústrias do gás e do petróleo
1243,44210000-5,Estruturas e partes de estruturas
1244,30232130-4,Impressoras de gráficos a cores
1245,03441000-3,"Plantas, ervas, musgos e líquenes para ornamentação"
1246,39715200-9,Equipamento para aquecimento
1247,45262310-7,Obras em betão armado
1248,79823000-9,Serviços de impressão e entrega
1250,71351910-5,Serviços de geologia
1252,42513000-5,Equipamento de refrigeração e congelação
1253,98333000-6,Serviços de massagens
1254,48180000-3,Pacote de software para medicina
1256,65100000-4,Serviços de distribuição de água e serviços conexos
1257,45233141-9,Manutenção de estradas
1258,35123300-5,Sistema de relógio de ponto
1259,34223340-1,Reboques-tanque
1260,71315000-9,Instalações técnicas em edifícios
1261,34928400-2,Mobiliário urbano
1262,50531000-6,Serviços de reparação e manutenção de máquinas não eléctricas
1263,44810000-1,Tintas
1264,48780000-9,"Pacote de software para gestão de sistemas, de armazenamento e de conteúdos"
1265,33641400-9,Contraceptivos
1266,50341100-8,Serviços de reparação e manutenção de equipamento de videotexto
1267,33122000-1,Equipamento oftalmológico
1268,72212190-7,Serviços de desenvolvimento de software para ensino
1269,15551000-5,Iogurte e outros produtos lácteos fermentados
1270,39831210-1,Detergentes para máquinas de lavar louça
1271,45223100-7,Montagem de estruturas metálicas
1272,42700000-3,"Máquinas para as indústrias têxtil, do vestuário e do couro"
1273,37412200-1,Equipamento para mergulho com garrafas e em apneia
1274,44316400-2,Ferragens
1275,44612000-3,Recipientes para gases liquefeitos
1276,38511100-1,Microscópios electrónicos de varrimento
1278,45252123-6,Instalações de filtragem
1279,64228200-2,Serviços de transmissão de emissões de rádio
1280,34928530-2,Candeeiros de iluminação pública
1281,92312251-5,Serviços de dj (disc-jockey)
1282,92111230-3,Produção de filmes de propaganda
1283,98336000-7,"Serviços de treino, ginástica ou aeróbica"
1284,35821000-5,Bandeiras
1285,48822000-6,Servidores informáticos
1286,80521000-2,Serviços relacionados com programas de formação
1287,43324100-1,Equipamento para piscinas
1288,44531510-9,Cavilhas e parafusos
1289,18141000-9,Luvas de trabalho
1290,15540000-5,Queijo | 15551000-5 - Iogurte e outros produtos lácteos fermentados
1291,72212941-7,Serviços de desenvolvimento de software para concepção de padrões
1292,14211000-3,Areia
1293,14200000-3,Areia e argila
1294,79992000-4,Serviços de recepção
1295,45211310-5,Construção de casas-de-banho
1297,24111900-4,Oxigénio
1298,79995100-6,Serviços de arquivo
1300,15940000-9,Sidra e outros vinhos de fruta
1301,15111000-9,Carne de bovino | 15112000-6 - Carne de aves de capoeira | 15113000-3 - Carne de suíno
1302,72212160-8,Serviços de desenvolvimento de software para bibliotecas
1303,33181520-3,Produtos de consumo para hemodiálise renal
1305,39234000-1,Caixas para compostagem
1306,30192113-6,Cartuchos de tinta
1307,38622000-1,Espelhos
1308,50422000-9,Serviços de reparação e manutenção de equipamento cirúrgico
1309,64216200-5,Serviços de informação electrónica
1310,31720000-9,Equipamento electromecânico
1311,33110000-4,"Equipamento de imagiologia para uso médico, dentário e veterinário"
1312,35721000-4,Sistema de informação electrónica
1313,03114000-3,Palha e plantas forrageiras
1314,34142300-7,Camiões todo-o-terreno (dumpers)
1315,33169000-2,Material cirúrgico
1316,45232410-9,Obras de construção de sistemas colectores
1317,45247112-8,Construção de canal de drenagem
1318,33191000-5,"Aparelhos para esterilização, desinfecção e higiene"
1319,42511110-5,Bombas de calor
1320,92622000-7,Serviços de organização de manifestações desportivas
1321,33696800-3,Meios de contraste para raios X
1322,71354100-5,Serviços de cartografia digital
1323,33184400-7,Próteses mamárias
1325,48781000-6,Pacote de software para gestão de sistemas
1326,48620000-0,Sistemas operativos
1327,33631000-2,Medicamentos usados em dermatologia
1328,51111200-5,Serviços de instalação de geradores
1329,90670000-4,Serviços de desinfecção e exterminação em áreas urbanas ou rurais
1330,18815000-5,Botas
1331,38600000-1,Instrumentos ópticos
1332,45262300-4,Obras em betão
1333,71210000-3,Serviços de assessoria em matéria de arquitectura
1334,90713000-8,Serviços de consultoria sobre questões ambientais
1335,48490000-9,Pacote de software para adjudicação de contratos
1336,22800000-8,"Livros de registo e de contabilidade, capas, formulários e outros artigos de papelaria impressos, de papel ou cartão"
1338,45220000-5,Obras de engenharia civil e construção de estruturas
1339,33651520-9,Imunoglobulinas
1340,71353100-8,Serviços de levantamento hidrográfico
1341,43200000-5,Máquinas para terraplanagem e escavação e respectivas peças
1342,33711790-1,Conjuntos de higiene oral
1343,66516100-1,Serviços de seguros de responsabilidade civil para automóveis
1344,15555000-3,Gelados e produtos similares
1345,92111200-4,"Produção de filmes e videocassetes para publicidade, propaganda e informação"
1347,15131000-5,Conservas e preparações à base de carne | 15200000-0 - Preparações e conservas à base de peixe | 15540000-5 - Queijo
1348,63520000-0,Serviços de agências de transporte
1349,14212200-2,Agregados
1350,22460000-2,"Suportes de publicidade, manuais e catálogos comerciais"
1351,33141510-8,Derivados sanguíneos
1352,50413200-5,Serviços de reparação e manutenção de equipamento de combate a incêndios
1353,15811200-8,Pãezinhos | 15811300-9 - Croissants
1354,45100000-8,Preparação dos locais para construção
1355,45234121-0,Obras relacionadas com vias para eléctricos
1356,51700000-9,Serviços de instalação de equipamento de protecção contra incêndios
1357,33712000-4,Preservativos
1358,55330000-2,Serviços de cafetaria
1359,45215100-8,Obras de construção de edifícios relacionados com serviços de saúde
1361,45233222-1,Obras de pavimentação e asfaltagem
1362,19200000-8,Tecidos têxteis e artigos afins
1363,31527260-6,Sistemas de iluminação
1364,03114200-5,Plantas forrageiras
1365,45332200-5,Instalação de canalizações de água
1366,51514110-2,Serviços de instalação de máquinas e aparelhos para filtrar ou depurar água
1367,38437000-7,Pipetas de laboratório e acessórios
1368,42520000-7,Equipamento de ventilação
1369,31531000-7,Lâmpadas
1370,09211000-1,"Óleos lubrificantes e agentes lubrificantes | 14212410-7 - Terra vegetal | 39224000-8 - Vassouras, escovas e outros artigos de vários tipos | 44510000-8 - Ferramentas"
1371,35125100-7,Sensores
1372,64120000-3,Serviços de correio rápido
1373,72110000-9,Serviços de consultoria na selecção de hardware
1374,45211350-7,Construção de edifícios multifuncionais
1375,39515000-5,"Cortinados, drapés, sanefas e estores de matérias têxteis"
1376,32200000-5,"Aparelhos emissores para radiotelefonia, radiotelegrafia, radiodifusão e televisão"
1377,44113130-5,Pedra de calçada
1378,45216129-4,Abrigos de protecção
1380,18300000-2,Peças de vestuário
1381,18800000-7,Calçado
1382,44112420-8,Material de sustentação
1383,48445000-9,Pacote de software para gestão da relação com os clientes
1384,38540000-2,Máquinas e aparelhos para ensaios e medição
1385,31681200-5,Bombas eléctricas
1387,33157810-6,Unidade de oxigenoterapia
1389,50880000-7,Serviços de reparação e manutenção de equipamento para hotelaria e restauração
1390,38437110-1,Pontas de pipetas
1391,72320000-4,Serviços relacionados com bases de dados
1392,15612000-1,Farinhas de cereais ou leguminosas e produtos afins
1393,45215000-7,"Obras de construção de edifícios relacionados com serviços de saúde ou sociais, crematórios e instalações sanitárias públicas"
1394,39310000-8,Equipamento para fornecimento de refeições (catering)
1395,39221120-4,Chávenas e copos
1396,92220000-9,Serviços de televisão
1397,15131200-7,"Carnes secas, fumadas, salgadas ou temperadas"
1399,34144511-3,Veículos para recolha de lixo
1400,44420000-0,Artigos utilizados em construção
1401,31711500-8,Peças para montagens electrónicas
1402,35811300-5,Uniformes militares
1403,44165100-5,Tubos
1404,92521200-1,Serviços de preservação de obras expostas e espécimes
1405,33661000-1,Medicamentos para o sistema nervoso
1406,32412000-4,Rede de comunicações
1407,44212100-0,Ponte
1408,33141310-6,Seringas
1409,48321000-4,Pacote de software para design assistido por computador (CAD)
1410,50244000-7,Serviços de recuperação de navios ou barcos
1411,98332000-9,Serviços de estações termais
1412,55130000-0,Outros serviços de hotelaria
1413,85120000-6,Serviços de prática médica e serviços conexos
1414,48600000-4,Pacote de software para bases de dados e de software operativo
1415,33763000-6,Toalhas de mão de papel
1416,44175000-7,Painéis
1418,33168000-5,Aparelhos para endoscopia e endocirurgia
1419,33721100-1,Lâminas de barbear
1420,92120000-8,Serviços de distribuição de filmes e videocassetes
1421,24314100-9,Permanganato de potássio
1422,33141220-8,Cânulas
1423,60161000-4,Serviços de transporte de encomendas
1424,50116000-1,Serviços de manutenção e reparação relacionados com peças específicas para veículos
1425,45246200-5,Obras de protecção de margens
1426,24311000-7,"Elementos químicos, compostos e ácidos inorgânicos"
1427,33184000-3,Próteses
1428,39132000-6,Sistemas de arquivo
1429,45262800-9,Obras de ampliação de edifícios
1431,70100000-2,Serviços imobiliários relacionados com bens imóveis próprios
1433,44334000-0,Perfis
1434,31523200-0,Sinais de mensagens permanentes | 44175000-7 - Painéis | 44331000-9 - Barras
1435,50312610-4,Manutenção de equipamento para as tecnologias da informação
1436,48517000-5,Pacote de software para TI
1438,38400000-9,Instrumentos para controlo de propriedades físicas | 38424000-3 - Equipamento para medição e controlo
1439,44212321-5,Abrigos em paragens de autocarros
1440,44811000-8,Tinta para marcação de estradas
1442,51600000-8,Serviços de instalação de computadores e equipamento para escritório
1443,64111000-7,Serviços postais relacionados com jornais e publicações periódicas
1444,38120000-2,Instrumentos para meteorologia
1445,15981310-4,Gelo
1446,80420000-4,Serviços de aprendizagem electrónica (e-learning)
1447,80590000-6,Serviços de tutoria
1449,38434400-0,Analisadores de vibrações
1450,48515000-1,Pacote de software para videoconferências
1451,39720000-5,Aparelhos não eléctricos de uso doméstico
1452,15842100-3,Chocolate
1453,45246400-7,Obras de prevenção das cheias
1454,09122110-4,Gás propano liquefeito
1455,75241100-8,Serviços policiais
1456,71322100-2,Serviços de medições para obras de engenharia civil
1457,45342000-6,Edificação de vedações
1458,71322300-4,Serviços de concepção de pontes
1459,72253000-3,Serviços de apoio e de help-desk
1460,71336000-2,Serviços de apoio em matéria de engenharia
1461,45215214-0,Construção de residenciais para idosos
1462,03419100-1,Produtos de madeira
1463,90641000-2,Serviços de limpeza de sarjetas
1464,44112300-1,Divisórias
1465,33141110-4,Pensos
1466,03120000-8,Produtos hortofrutícolas e de viveiro
1467,50313000-2,Manutenção e reparação de máquinas de reprografia
1468,22400000-4,"Selos, cheques, notas de banco, certificados de acções, suportes de publicidade comercial, catálogos e manuais"
1469,48331000-7,Pacote de software para gestão de projectos
1470,77100000-1,Serviços relacionados com a agricultura
1471,39220000-0,"Equipamento de cozinha, artigos domésticos e refeições fornecidas (catering)"
1472,45213000-3,"Obras de construção de edifícios relacionados com edifícios comerciais, armazéns e edifícios industriais, edifícios relacionados com o transporte"
1473,72316000-3,Serviços de análise de dados
1474,79980000-7,Serviços de assinatura
1475,65320000-2,Exploração de instalações eléctricas
1476,32421000-0,Cablagem de rede
1477,44115900-8,Dispositivos de protecção solar
1478,39518100-7,Roupa para blocos operatórios
1479,33197000-7,Equipamento informático para fins médicos
1480,34131000-4,Carrinhas de caixa aberta (pick-ups)
1481,90524000-6,Serviços relacionados com resíduos médicos
1482,33183300-9,Aparelhos para osteossíntese
1483,79121000-8,Serviços de consultoria em matéria de direitos de autor
1484,38545000-7,Kits para análise de gases
1485,44113610-4,Betume
1486,77111000-1,"Aluguer de máquinas agrícolas, com operador"
1487,44112000-8,Estruturas diversas para construção
1488,22455100-5,Pulseiras de identificação
1490,18331000-8,T-shirts
1491,35810000-5,Equipamento individual
1492,98321100-0,Serviços de barbearia
1493,33731110-7,Lentes intraoculares
1494,71317000-3,Serviços de consultoria em matéria de controlo e protecção contra os riscos potenciais
1495,55311000-3,Serviços de restauração tradicional de clientela restrita
1496,39113600-3,Bancos
1497,14622000-7,Aço
1498,39141000-2,Mobiliário e equipamento de cozinha
1499,45111290-7,Obras de infra-estrutura para urbanização de terrenos
1500,45212290-5,Reparação e manutenção de instalações desportivas
1501,15981100-9,Água mineral não gaseificada | 15982200-7 - Leite chocolatado
1502,15981200-0,Água mineral gaseificada | 15981400-2 - Águas minerais aromatizadas | 15982200-7 - Leite chocolatado
1503,15894600-7,Recheios para sanduíches
1504,38424000-3,Equipamento para medição e controlo
1506,39512000-4,Roupa de cama
1507,39110000-6,"Assentos, cadeiras e produtos afins e peças associadas"
1508,45442110-1,Pintura de edifícios
1509,45223000-6,Construção de estruturas
1510,71530000-2,Serviços de consultoria em matéria de construção
1511,32300000-6,Aparelhos receptores de rádio e televisão e aparelhos para gravação ou reprodução de som e imagem
1512,90460000-9,Serviços de esvaziamento de latrinas ou fossas sépticas
1513,44112100-9,Abrigos
1515,03450000-9,Produtos de viveiros florestais
1516,90913200-2,Serviços de limpeza de reservatórios
1517,33141770-8,"Alfinetes, placas e material para fracturas"
1518,44470000-5,Produtos de ferro fundido
1519,33195100-4,Monitores
1520,45330000-9,Instalação de canalizações
1521,79625000-1,Serviços de fornecimento de pessoal médico
1522,45221110-6,Construção de ponte
1524,32210000-8,Equipamento de difusão
1525,50343000-1,Serviços de reparação e manutenção de equipamento de vídeo
1526,79953000-9,Serviços de organização de festivais
1527,92221000-6,Serviços de produção televisiva
1528,43500000-8,Veículos de lagartas
1529,72710000-0,Serviços de rede local
1530,44315310-7,Materiais para soldadura
1531,30212000-8,Hardware para minicomputador | 48730000-4 - Pacote de software de segurança | 51611100-9 - Serviços de instalação de hardware | 72210000-0 - Serviços de programação de pacotes de software | 72260000-5 - Serviços relacionados com software
1532,31710000-6,Equipamento electrónico
1533,34921000-9,Equipamento para manutenção de estradas
1534,50860000-1,Serviços de reparação e manutenção de instrumentos musicais
1535,39711130-9,Frigoríficos
1536,14700000-8,Metais de base
1537,45223500-1,Estruturas de betão reforçado
1538,33141625-7,Kits de diagnóstico
1539,48444100-3,Sistema de facturação
1540,72416000-9,Fornecedores de aplicações
1541,24213000-0,Cal hidratada
1542,42511100-2,Permutadores de calor
1544,39121200-8,Mesas
1545,15332200-6,Doces e geleias de fruta; purés e pastas de fruta ou de frutos de casca rija
1546,79961330-0,Serviços de microfilmagem
1547,39531400-7,Revestimentos de solo
1548,32260000-3,Equipamento para transmissão de dados
1549,09110000-3,Combustíveis sólidos
1550,90911300-9,Serviços de limpeza de janelas
1551,72313000-2,Serviços de recolha de dados
1552,33141119-7,Compressas
1553,45252127-4,Construção de estação de tratamento de águas residuais
1554,19512000-8,Artigos de borracha não vulcanizada
1555,48614000-5,Sistema de aquisição de dados
1556,48330000-0,Pacote de software para gestão de tarefas e produtividade
1557,39141300-5,Armários
1560,33141615-4,Sacos para urina
1561,42414400-5,Gruas montadas em veículos
1562,90730000-3,Rastreio e monitorização da poluição e reabilitação
1563,42123000-7,Compressores
1564,72246000-1,Serviços de consultoria em matéria de sistemas
1565,45421144-5,Instalação de toldos
1566,45223110-0,Instalação de estruturas metálicas
1567,55523100-3,Serviços de cantinas escolares
1568,71315400-3,Serviços de inspecção e verificação de edifícios
1569,31150000-2,Balastros para lâmpadas ou tubos de descarga | 50530000-9 - Serviços de reparação e manutenção de máquinas
1570,39145000-0,Material para caves e adegas
1571,45233225-2,Construção de estrada com faixa de rodagem única
1572,24300000-7,Produtos químicos orgânicos e inorgânicos de base
1573,37410000-5,Equipamento para desportos ao ar livre
1574,44617000-8,Caixas
1575,34144220-6,Veículos de pronto-socorro
1576,45317300-5,Instalação eléctrica de aparelhos para distribuição de electricidade
1577,39298700-4,Troféus
1578,71245000-7,"Planos para aprovação, peças desenhadas e especificações"
1579,79961300-1,Serviços de fotografia especializada
1580,43325000-7,Equipamento para parques e áreas de recreação
1581,31670000-3,Peças eléctricas para máquinas ou aparelhos
1582,15332000-4,Fruta e frutos de casca rija transformados
1583,48443000-5,Pacote de software para contabilidade | 71356200-0 - Serviços de assistência técnica
1584,48624000-8,Pacote de software para sistemas operativos de computadores pessoais (PC)
1585,33692300-0,Alimentos enterais
1586,34134200-7,Camiões basculantes
1589,79961100-9,Serviços de fotografia publicitária
1590,92111250-9,Produção de filmes informativos
1591,48214000-1,Pacote de software para sistemas operativos em rede
1592,31120000-3,Geradores
1593,50500000-0,"Serviços de reparação e manutenção de bombas, válvulas, torneiras, contentores de metal e equipamento"
1594,42416100-6,Elevadores
1596,66514150-2,Serviços de seguros de embarcações
1597,15530000-2,Manteiga
1598,71313100-6,Serviços de consultoria em matéria de controlo do ruído
1599,44620000-2,"Caldeiras, radiadores e respectivas peças para aquecimento central"
1600,44111600-7,Blocos
1601,73110000-6,Serviços de investigação
1602,38425100-1,Manómetros
1603,48761000-0,Pacote de software antivírus
1604,51312000-2,Serviços de instalação de equipamento de televisão
1607,79921000-6,Serviços de embalagem
1608,77110000-4,Serviços relacionados com produção agrícola
1610,30194700-2,Modelos gráficos
1611,39516110-6,Almofadas
1612,34137000-6,Veículos de mercadorias usados
1613,15332270-7,Purés de fruta | 15540000-5 - Queijo | 15551300-8 - Iogurte | 15833100-7 - Sobremesas
1614,33680000-0,Artigos de farmácia
1617,79341200-8,Serviços de gestão publicitária
1618,45252130-8,Equipamento para estação de tratamento de águas residuais
1619,79313000-1,Serviços de avaliação dos resultados
1620,50232100-1,Serviços de manutenção de iluminação rodoviária
1621,50532200-5,Serviços de reparação e manutenção de transformadores
1622,71600000-4,"Serviços técnicos de ensaio, análise e consultoria"
1623,77300000-3,Serviços relacionados com horticultura
1624,79415200-8,Serviços de consultoria em matéria de concepção
1625,32400000-7,Redes
1628,85145000-7,Serviços prestados por laboratórios médicos
1629,77900000-9,Serviços de apicultura
1630,33141121-4,Suturas cirúrgicas
1631,72225000-8,Serviços de análise e avaliação em matéria de garantias da qualidade dos sistemas
1632,77211400-6,Serviços de abate de árvores
1633,33631600-8,Anti-sépticos e desinfectantes
1634,64228100-1,Serviços de transmissão de programas televisivos
1635,45261910-6,Reparação de coberturas
1636,33112000-8,"Equipamento de imagiologia por ecos, ultra-sons e doppler"
1637,71521000-6,Serviços de supervisão do local para construção
1638,22114300-5,Mapas
1639,72211000-7,Serviços de programação de sistemas e de software para o utilizador
1640,24113000-9,Ar líquido e ar comprimido
1641,66515000-3,Serviços de seguros contra danos ou perdas
1642,38433100-0,Espectrómetros de massa
1643,65210000-8,Distribuição de gás
1644,34330000-9,"Peças sobressalentes para veículos de mercadorias, furgonetas e ligeiros"
1645,31200000-8,Aparelhos de controlo e distribuição de electricidade
1646,45316110-9,Instalação de dispositivos para iluminação de estradas
1647,39190000-0,Papel de parede e outros revestimentos
1648,50312300-8,Manutenção e reparação de equipamento para redes de dados
1649,72410000-7,Serviços de fornecimento
1650,90720000-0,Protecção ambiental
1651,90712200-3,Planeamento estratégico da conservação florestal
1653,44113900-4,Materiais para manutenção de estradas
1654,35113400-3,Vestuário de protecção e segurança
1655,48170000-0,Pacote de software de conformidade
1656,48612000-1,Sistema de gestão de bases de dados
1657,39314000-6,Equipamento para cozinha industrial
1658,33113000-5,Equipamento de imagiologia por ressonância magnética
1659,72212783-1,Serviços de desenvolvimento de software para gestão de conteúdos
1660,71322000-1,Serviços de concepção técnica para a construção de obras de engenharia civil
1661,34928320-7,Guardas de segurança
1662,45112712-9,Trabalhos de paisagismo em jardins
1663,39221110-1,Louça
1664,44611500-1,Tanques para água
1665,45440000-3,Pintura e colocação de vidros
1666,71630000-3,Serviços técnicos de inspecção e ensaio
1667,38810000-6,Equipamento para controlo de processos industriais
1668,43323000-3,Equipamento para irrigação
1669,43327000-1,Equipamento pré-fabricado
1671,50532300-6,Serviços de reparação e manutenção de geradores
1672,42531000-7,Peças para equipamento de refrigeração
1673,33162100-4,Aparelhos para blocos operatórios
1674,45233270-2,Marcação de parques de estacionamento
1675,44221200-7,Portas
1676,39294000-9,Aparelhos e equipamento para demonstração
1677,45233261-6,Construção de passagem superior para peões
1678,79130000-4,Serviços de certificação e documentação legal
1679,45232452-5,Obras de drenagem
1680,79630000-9,Serviços relacionados com o pessoal excepto serviços de colocação e fornecimento de pessoal
1681,45261210-9,Cobertura de telhados
1682,15840000-8,"Cacau, chocolate e produtos de confeitaria"
1683,79416100-4,Serviços de gestão em matéria de relações públicas
1684,48983000-2,Pacote de software para desenvolvimento
1685,71315200-1,Serviços de consultoria relacionados com edifícios
1686,34940000-8,Equipamento para vias férreas
1687,50411100-0,Serviços de reparação e manutenção de contadores de água
1688,90923000-3,Serviços de desratização
1689,42670000-3,Peças e acessórios para máquinas-ferramentas
1690,33141750-2,Articulações artificiais
1691,90714500-0,Serviços de controlo da qualidade ambiental
1693,48731000-1,Pacote de software para segurança de ficheiros
1694,85323000-9,Serviços comunitários de saúde
1695,72253200-5,Serviços de apoio a sistemas
1696,65110000-7,Distribuição de água
1697,71321400-8,Serviços de consultoria sobre ventilação
1698,90410000-4,Serviços de remoção de águas residuais
1701,31711151-6,Condensadores fixos
1702,33182100-0,Desfibrilhador
1703,38433210-4,Espectrómetro de emissões
1704,34121000-1,Autocarros urbanos e de turismo
1705,45211000-9,Construção de edifícios de vários fogos e de moradias independentes
1706,51111000-3,"Serviços de instalação de motores eléctricos, geradores e transformadores"
1707,32552510-5,Terminais de videotexto
1708,38950000-9,Equipamento para reacção de polimerase em cadeia (PCR)
1710,33141411-4,Bisturis e lâminas
1711,09134210-2,"Gasóleo ou combustível para motores diesel (0,2)"
1712,39155000-3,Mobiliário de biblioteca
1713,34992200-9,Placas de sinalização rodoviária
1714,92512000-3,Serviços dos arquivos
1715,03410000-7,Madeira
1716,79635000-4,Serviços de avaliação para recrutamento
1717,15240000-2,Peixe em conserva ou em lata e outras preparações ou conservas à base de peixe
1718,34926000-4,Equipamento de controlo de parques de estacionamento
1719,48500000-3,Pacote de software para comunicações e multimédia
1720,22458000-5,Material impresso por encomenda
1721,45214200-2,Construção de edifícios escolares
1722,79416000-3,Serviços de relações públicas
1723,66600000-6,Serviços de tesouraria
1724,72222000-7,Serviços de planeamento e de análise estratégica em matéria de sistemas ou de tecnologias da informação
1725,72250000-2,Serviços de sistemas e de apoio
1726,45233260-9,Construção de vias pedestres
1727,45111230-9,Estabilização do terreno
1728,90742100-1,Serviços de controlo do ruído
1729,31230000-7,Peças para aparelhos de controlo ou distribuição de electricidade
1730,30216110-0,Scanners para computadores
1731,03121000-5,Produtos hortifrutícolas
1732,92210000-6,Serviços de rádio
1733,60181000-0,Aluguer de camiões com condutor
1734,32551200-2,Centrais telefónicas
1735,34311000-0,Motores
1737,98200000-5,Serviços de consultoria para a igualdade de oportunidades
1738,72212730-5,Serviços de desenvolvimento de software de segurança
1740,15821200-1,Bolachas e biscoitos doces | 15842000-2 - Chocolate e produtos de confeitaria
1741,65120000-0,Exploração de estações de depuração de água
1742,45243000-2,Obras relacionadas com a defesa costeira
1743,15894200-3,Refeições preparadas
1745,70300000-4,Serviços de mediação imobiliária à comissão ou por contrato
1746,42415200-0,Veículos para movimentação de cargas
1747,32442000-3,Equipamento terminal
1749,39298900-6,Artigos diversos de decoração
1751,18113000-4,Vestuário industrial | 18141000-9 - Luvas de trabalho | 18142000-6 - Viseiras de protecção | 18143000-3 - Equipamento (vestuário) de protecção | 18444200-5 - Capacetes de segurança
1752,24955000-3,Instalações sanitárias químicas
1753,50332000-1,Serviços de manutenção de infra-estruturas para telecomunicações
1754,48813000-0,Sistema de informação de passageiros
1755,71351730-9,Serviços de prospecção geológica
1756,31111000-7,Adaptadores
1757,44400000-4,Produtos fabricados diversos e artigos afins
1759,39522100-8,"Encerados, toldos e estores de exterior"
1761,92312120-8,Serviços recreativos dos grupos de cantores
1762,75251000-0,Serviços de incêndios
1763,33741300-9,Desinfectante para as mãos
1764,34351000-2,Pneus para utilização não-intensiva
1766,60180000-3,Aluguer de veículos para transporte de mercadorias com condutor
1767,15331000-7,Produtos hortícolas transformados
1768,44831000-4,"Mástiques, betumes, massa"
1769,44612100-4,Botijas de gás
1770,71222200-2,Serviços de cartografia de zonas rurais
1771,45212110-0,Construção de centro de lazer
1772,64121100-1,Serviços de distribuição de correio
1773,30123000-7,Máquinas de escritório
1774,24111700-2,Azoto | 24321100-1 - Hidrocarbonetos saturados | 39717200-3 - Aparelhos de ar condicionado | 42512500-3 - Peças para aparelhos de ar condicionado | 50720000-8 - Serviços de reparação e manutenção de aquecimento central | 50730000-1 - Serviços de reparação e manutenção de grupos de refrigeração
1775,30163100-0,Cartões para abastecimento de combustível
1776,71800000-6,Serviços de consultaria sobre abastecimento de água e resíduos
1777,92522200-8,Serviços de preservação de monumentos históricos
1778,34114100-0,Veículos de emergência
1780,39370000-6,Instalações de distribuição de água
1781,38310000-1,Balanças de precisão
1782,55524000-9,Serviços de fornecimento de refeições (catering) a escolas
1785,44812100-6,Esmaltes e tintas transparentes
1786,79993100-2,Serviços de gestão de instalações
1787,45215212-6,Construção de lar para idosos
1788,35125300-2,Câmaras de segurança
1789,45315100-9,Instalação de material eléctrico e electrónico
1790,45221100-3,Construção de pontes
1791,45259900-6,Modernização de instalações
1792,03141000-1,Sémen de bovino
1793,79421100-2,"Serviços de supervisão de projectos, excepto projectos de construção"
1794,42955000-5,Peças para máquinas de filtrar
1795,37520000-9,Brinquedos
1796,45233250-6,Obras de pavimentação excepto para estradas
1797,39831500-1,Produtos para limpeza de automóveis
1798,44112500-3,Materiais de cobertura
1799,55521200-0,Serviços de entrega de refeições
1800,60421000-5,Serviços de transporte de correio aéreo não regular
1801,15833000-6,Produtos à base de açúcar
1802,39715100-8,"Aquecedores eléctricos de água, incluindo os de imersão, de aquecimento instantâneo ou de acumulação"
1803,34410000-4,Motociclos
1804,31161700-9,Peças para geradores de vapor
1805,34500000-2,Navios e barcos
1806,09200000-1,"Petróleo, carvão e produtos petrolíferos"
1807,34515000-0,Estruturas flutuantes
1808,32342412-3,Altifalantes
1809,34921100-0,Varredoras de ruas
1810,34115300-9,Veículos de transporte usados
1811,55521000-8,"Serviços de fornecimento de refeições (catering) a agregados privados | 63500000-4 - Serviços de agências de viagens, de operadores turísticos e de assistência a turistas"
1812,31681000-3,Acessórios eléctricos
1813,30192320-0,Fita impressora
1814,45215215-7,Construção de infantário
1815,30232150-0,Impressoras de jacto de tinta
1816,30232000-4,Equipamento periférico
1817,90712100-2,Planeamento do desenvolvimento ambiental urbano
1818,50312310-1,Manutenção de equipamento para redes de dados
1820,71354200-6,Serviços de cartografia aérea
